Eq_Pac,HOT_Mar,HOT_Jul
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0006721271111325636,0.0,0.07159071254028813
0.17277338126387956,0.13064534288725968,0.2670838973274589
0.4201808532410699,0.37959210373319213,0.49320303231546886
0.6549591681074501,0.6284081394505461,0.6995515526664484
0.8409555640149715,0.8282215971567325,0.8616977902584251
0.9594001917122651,0.9560915101439981,0.9647136562007215
1.0,1.0,1.0
0.9594001917122651,0.9560915101439981,0.9647136562007215
0.8409555640149715,0.8282215971567325,0.8616977902584251
0.6549591681074501,0.6284081394505461,0.6995515526664484
0.4201808532410699,0.37959210373319213,0.49320303231546886
0.17277338126387956,0.13064534288725968,0.2670838973274589
0.0006721271111325636,0.0,0.07159071254028813
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
